model_key,protein,uniprot_id,model_type,threshold,qsar_model_run,status,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,confusion_matrix,n_target_bioactivity_datapoints,n_expanded_proteins,n_expanded_bioactivity_datapoints,n_train_samples,n_test_samples,train_class_distribution,test_class_distribution,n_features,similar_proteins
NR1I2_O75469_B_low,NR1I2,O75469,B,low,Yes,success,0.7391304347826086,0.7343561538090414,0.7320885801128961,0.7391975308641975,0.7437966622749231,"[[19, 3, 1], [4, 13, 7], [1, 2, 19]]",6319,67,5976,N/A,N/A,"{'High': '3569 (0.571)', 'Low': '1410 (0.226)', 'Medium': '1271 (0.203)'}","{'Medium': '24 (0.348)', 'Low': '23 (0.333)', 'High': '22 (0.319)'}",3023,N/A
SULT1A1_P50225_unknown,SULT1A1,P50225,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
GSTA1_P08263_unknown,GSTA1,P08263,unknown,N/A,No,no_thresholds,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
ORM1_P02763_A,ORM1,P02763,A,N/A,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
ORM1_P02763_B_high,ORM1,P02763,B,high,No,no_similar_proteins,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
ORM1_P02763_B_medium,ORM1,P02763,B,medium,No,no_similar_proteins,N/A,N/A,N/A,N/A,N/A,N/A,"","","",N/A,N/A,N/A,N/A,N/A,N/A
ORM1_P02763_B_low,ORM1,P02763,B,low,No,insufficient_data,N/A,N/A,N/A,N/A,N/A,N/A,"",3,"",N/A,N/A,N/A,N/A,N/A,N/A
KCNH2_Q12809_A,KCNH2,Q12809,A,N/A,Yes,success,1,1,1,1,1,[[424]],4492,"","",N/A,N/A,"{'Low+Medium': '1898 (0.528)', 'High': '1695 (0.472)'}","{'Low+Medium': '475 (0.528)', 'High': '424 (0.472)'}",2063,N/A
KCNH2_Q12809_B_high,KCNH2,Q12809,B,high,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
KCNH2_Q12809_B_medium,KCNH2,Q12809,B,medium,No,insufficient_features,N/A,N/A,N/A,N/A,N/A,N/A,0,"","",N/A,N/A,N/A,N/A,N/A,N/A
KCNH2_Q12809_B_low,KCNH2,Q12809,B,low,Yes,success,1,1,1,1,1,[[424]],4913,26,468,N/A,N/A,"{'High': '2018 (0.503)', 'Low+Medium': '1996 (0.497)'}","{'Low+Medium': '475 (0.528)', 'High': '424 (0.472)'}",3023,N/A
SCN5A_Q14524_A,SCN5A,Q14524,A,N/A,Yes,success,0.7727272727272727,0.6507936507936507,0.7445887445887446,0.7280701754385965,0.6354166666666666,"[[6, 12], [3, 45]]",329,"","",N/A,N/A,"{'High': '192 (0.730)', 'Low+Medium': '71 (0.270)'}","{'High': '48 (0.727)', 'Low+Medium': '18 (0.273)'}",2063,N/A
